# MaleCNS v1.0 soma positions, every 7th of 141781 by bodyId order (deterministic, FR-PRP-09)
bodyId,x,y,z
10001,37124,22258,36274
10011,52451,31818,14233
10019,61628,21036,35367
10029,31205,23088,37898
10037,27881,28794,42485
10044,56712,18595,12105
10051,58737,21709,15382
10060,69055,18358,32957
10069,45977,62360,69338
10076,46912,10020,26063
10083,25667,29047,20055
10090,68446,16602,17600
10098,66074,21663,14510
10105,73532,24680,24612
10112,27315,28339,42997
10119,69550,33979,25496
10126,55566,31902,12038
10133,62328,26051,13188
10140,34079,25877,13324
10147,73058,11486,25246
10156,41827,31680,38878
10163,62610,38751,23856
10170,22562,28026,22954
10178,73695,24495,21619
10187,48667,46884,28065
10194,67971,14730,33365
10201,34354,26288,15279
10208,62331,25141,15454
10215,41254,44930,20826
10222,43714,33582,14123
10231,22814,25306,22326
10238,61580,14067,16007
10245,41136,18552,36518
10252,24608,13636,26476
10259,59816,25251,37404
10267,43288,34422,17616
10275,48408,18372,33022
10282,71596,34117,23609
10289,60479,20625,35735
10296,35464,41162,26372
10304,36455,37996,33200
10311,25650,29753,43653
10319,72714,20814,23594
10327,47664,18139,32803
10334,37690,18472,35201
10341,54484,19870,38367
10351,32243,34305,31088
10359,57157,19785,11302
10366,45902,11524,28733
10373,53841,20067,36730
10381,48312,8338,17752
10388,48320,19547,36063
10397,62978,24945,15915
10405,56542,20582,12518
10413,34688,27144,17682
10420,50405,42194,37579
10429,52727,22112,11713
10437,61148,28110,19128
10445,72506,16612,26638
10452,72710,30146,42807
10459,60193,22092,14249
10467,37293,40208,22395
10474,70794,15623,23717
10481,35080,21154,35510
10488,69199,34346,26277
10495,35810,22057,18888
10503,24633,30724,43682
10510,49550,42484,38850
10518,27240,35174,26968
10525,50532,9790,27014
10532,50371,15808,32848
10539,48642,9008,27334
10546,33873,25169,15595
10553,44524,43282,17422
10561,56312,22013,10897
10568,41024,18258,37961
10575,33597,34132,17193
10582,57347,40058,19238
10589,57143,22098,38187
10598,48765,41938,38375
10607,40724,17320,33150
10614,70094,15104,24127
10622,35764,37322,16138
10630,49375,15482,34202
10639,32560,13698,20883
10646,36287,38208,19411
10653,63168,24946,14550
10662,62159,38545,29252
10669,42470,10053,31426
10676,62809,39945,32452
10683,22693,13732,27798
10690,69220,14864,33414
10698,69098,17082,17356
10707,36646,38530,21348
10714,73000,21306,22220
10723,24546,30618,26872
10731,59144,38364,22424
10739,59060,39190,21526
10749,66230,22343,14651
10756,34534,28708,13556
10764,23314,24636,23150
10771,23722,16203,32077
10778,69776,17803,30945
10786,37760,31589,20009
10794,59870,30015,20065
10801,71203,17810,32617
10808,62701,26901,13934
10815,45436,12932,32744
10823,46030,13068,28735
10831,47150,46260,33973
10838,33546,26342,16688
10845,27248,35134,28714
10853,61598,37180,33530
10862,63406,32874,32646
10869,41828,21477,14055
10876,34490,39584,24746
10884,62079,18364,16742
10892,47912,27693,36150
10901,26009,33648,25643
10909,41422,15884,34600
10917,24043,22667,23920
10924,33573,20410,17862
10931,60616,16586,35326
10940,69058,16532,17296
10948,35718,38451,33463
10956,59530,22513,16136
10963,50540,11498,29214
10970,45340,43883,18434
